Title,Content,Lat,Long
CorkyKneivel,Christmas Party next week,38.7529064,-121.2553042
LasVegasCP,Hey Angel HarryStyles  Christmas is coming soon amp my only wish is for you to follow meMind making my wish come true I love you264217,36.16144999,-115.1394668
funtobehad,12 Days of Yogi Christmas Sweepstakes httpstcoqUPUMUnD3d via yogisurprise,33.80753706,-117.9199876
CreeksideOrtho,Whats a good Christmas movie thats on ,38.3335495,-121.9709396
TheAnimalPad,RT CutePicsOfPugs Just love Christmas time httpstcoG1SsLwZWAS,32.7153,-117.156
sdentrepreneur,HarryStyles may the sweet magic of Christmas conspire to gladden your heart and fill every desire Kindly follow me amp sereinhes 51489,32.7191086,-117.1613998
greensboro_nc,RT KardashianReact if u hate christmas spirit u can jingle the fuck out of my life,34.09284747,-118.3287446
CoryDaGuitarGuy,RT BlairCook23 Christmas time makes me so happy,39.46123929,-121.573767
SouthCoastRevo,Check out Vintage Christmas Tree Brooch Pin Earrings Necklace Set Holiday Lampwork 60s unbranded httpstcoW1lOGPYl56 via eBay,34.2588501,-119.2395477
StefaniaPJ,gbb  right This vacation shall be fun Are we having a Christmas program,34.11108202,-118.3093688
lexpierce,RT K37eeKlutz I hate when people say Xmas If you dont believe Christ is the reason for the season then why are you even celebrating,37.394,-122.08
makennacoooper,RT LetyMarini AviKaplan how do I explain to my little cousin that he cant have a pet dragon without hurting his feelings bc he wants on,37.67393204,-122.0814039
otgsf,longislandpatch please pass this along please help make her Christmas wish come true httpstcoRMBOu4frqJ,37.55775315,-122.270731
CheeseTR,RT mbvukutaphiri Love love   Miss You Most At Christmas Time by mariahcarey from SoundHound with LiveLyrics httpstco,36.12083333,-115.1722222
Blissworldwide,RT DiiBylo Puppy love amp the magic of the Holidays Joseys Christmas Cookie by SharonKleve httpstcoPfMAm2pniv Holidays httpstco,34.10220324,-118.3389626
jeremydizon,RT RetroPhotoPics The Twin Towers during Christmas 1995 httpstcoXhLKDeIav2 httpstcoabMKllQztP httpstcoBBeXOikoUO,37.70413589,-121.8848924
MyrnaMcDow,RT CloydRivers Hey ISIS  Merry frickin Christmas From Russia with love Merica httpstco0u4MNWfKKB,33.0780296,-116.6023407
VisitSacramento,RT omgrelatabIe christmas break starter pack httpstco3Rm4Uv7Bg0,38.56680535,-121.4514958
taimboutique,Hii HarryStyles christmas is coming and a perfect christmas gift would be your follow follow me pls  i love you  81316,33.5326614,-117.7762375
javiermota,RT CloydRivers Hey ISIS  Merry frickin Christmas From Russia with love Merica httpstco0u4MNWfKKB,33.7679405,-116.4563599
demetry14,RT SixSecondCover When youre Drake and Christmas af httpstcozPhFFYP5FE,33.7822304,-117.8963013
JessikaRabbyt,HarryStyles hi harry what do santas elves learn in school the ELFabet only 16 days until christmas follow me before then 194659,34.1364098,-118.362999
Occhef82,so how about we get you a little dog for Christmas,33.7277603,-117.8380585
pinknynjah11,RT TmarTn Just copped this for a Christmas party  httpstco2IT8oa2RAj httpstcohHZ21VJ9rM,34.01754,-117.9787598
URonPlanetEarth,I would tell Deedy to go to the Thrift store thats where the real authentic ugly Christmas sweaters are but ,33.78107771,-116.4639785
